time,event,direction,price,lots,reason,realized_pnl,realized_pnl_cum,available_cash,margin_in_use,bar_index
2016-04-05 18:00:00,ENTRY,LONG,36301.0,2,C3_LONG + EMA_OK + BUFFER,0.0,0.0,2500000.0,54451.5,142
2016-04-21 19:00:00,EXIT,LONG,39920.0,2,STOP,35961.337,35961.337,2535961.337,0.0,722
2016-04-22 17:45:00,ENTRY,LONG,40557.0,1,C3_LONG + EMA_OK + BUFFER,0.0,35961.337,2535961.337,30417.75,772
2016-04-22 21:45:00,EXIT,LONG,39980.0,1,STOP,-3005.8055,32955.5315,2532955.5315,0.0,788
2016-04-25 14:30:00,ENTRY,SHORT,39910.0,2,C3_SHORT + EMA_OK + BUFFER,0.0,32955.5315,2532955.5315,59865.0,814
2016-04-27 10:00:00,EXIT,SHORT,40584.0,2,STOP,-6981.482,25974.049499999997,2525974.0495,0.0,905
2016-04-27 21:45:00,ENTRY,LONG,40602.0,4,C3_LONG + EMA_OK + BUFFER,0.0,25974.049499999997,2525974.0495,121806.0,952
2016-04-29 23:30:00,EXIT,LONG,41552.0,4,MONTH_END,18507.076,44481.125499999995,2544481.1255,0.0,1069
2016-05-02 14:45:00,ENTRY,LONG,42348.0,2,C3_LONG + EMA_OK + BUFFER,0.0,44481.125499999995,2544481.1255,63522.0,1089
2016-05-02 23:15:00,EXIT,LONG,41727.0,2,STOP,-6462.225,38018.900499999996,2538018.9005,0.0,1123
2016-05-03 19:30:00,ENTRY,SHORT,41560.0,4,C3_SHORT + EMA_OK + BUFFER,0.0,38018.900499999996,2538018.9005,124680.0,1163
2016-05-05 17:30:00,EXIT,SHORT,41701.0,4,EMA_REVERSAL,-3319.566,34699.3345,2534699.3345,0.0,1265
2016-05-09 18:30:00,ENTRY,SHORT,41058.0,8,C3_SHORT + EMA_OK + BUFFER,0.0,34699.3345,2534699.3345,246348.0,1379
2016-05-11 16:00:00,EXIT,SHORT,41499.0,8,EMA_REVERSAL,-18630.684,16068.650499999996,2516068.6505,0.0,1479
