time,direction,price,lots,reason,realized_pnl,available_after
2019-05-03 19:30:00,SHORT,37323.0,103,EMA_REVERSAL,-220045.2345,5518919.882499997
2019-05-16 14:00:00,LONG,37440.0,98,EMA_REVERSAL,7618.226000000002,5526538.108499996
2019-05-23 15:30:00,SHORT,36542.0,49,EMA_REVERSAL,79862.74799999999,5606400.856499996
2019-05-31 23:15:00,SHORT,36476.0,24,MONTH_END,-15462.42,5590938.436499996
2019-06-10 22:45:00,LONG,36605.0,48,STOP,-34559.904,5556378.532499996
2019-06-27 18:45:00,LONG,37576.0,96,STOP,244134.576,5800513.108499996
2019-07-02 17:45:00,LONG,37573.0,48,EMA_REVERSAL,-110802.12,5689710.988499996
2019-07-12 17:45:00,LONG,38153.0,96,EMA_REVERSAL,38466.768,5728177.756499996
2019-07-19 21:15:00,LONG,40590.0,48,STOP,378510.312,6106688.068499996
2019-07-25 22:15:00,LONG,41306.0,24,EMA_REVERSAL,2907.732,6109595.800499996
2019-08-01 23:15:00,SHORT,40993.0,100,STOP,-246727.55,5862868.250499996
2019-08-13 19:15:00,LONG,42536.0,48,STOP,332856.48,6195724.730499996
2019-08-14 15:45:00,SHORT,43678.0,24,STOP,-78482.208,6117242.522499996
2019-08-19 09:00:00,LONG,43478.0,48,STOP,-173831.088,5943411.434499996
2019-08-20 23:00:00,SHORT,43945.0,91,EMA_REVERSAL,-271724.0435,5671687.390999996
2019-08-29 22:00:00,LONG,46078.0,86,STOP,961923.932,6633611.322999996
2019-08-30 23:15:00,LONG,46757.0,47,MONTH_END,-66065.5735,6567545.749499996
2019-09-05 19:00:00,LONG,50186.0,90,STOP,715668.48,7283214.229499996
2019-09-06 18:00:00,SHORT,49200.0,47,STOP,-110071.2505,7173142.978999996
2019-09-12 17:30:00,SHORT,48023.0,94,EMA_REVERSAL,430474.269,7603617.247999996
2019-09-16 09:00:00,SHORT,46808.0,47,STOP,-41604.4235,7562012.824499996
2019-09-17 20:30:00,SHORT,47163.0,94,EMA_REVERSAL,-245410.312,7316602.512499996
2019-09-23 09:00:00,SHORT,47314.0,104,STOP,-392168.712,6924433.800499996
2019-09-25 21:15:00,LONG,46909.0,97,STOP,-307648.692,6616785.108499996
2019-09-30 23:15:00,SHORT,44126.0,95,MONTH_END,937139.09,7553924.198499996
2019-10-08 18:30:00,SHORT,45988.0,57,STOP,-228672.6855,7325251.512999997
2019-10-10 18:00:00,LONG,45573.0,105,STOP,-421352.5575,6903898.955499996
2019-10-21 17:00:00,SHORT,45700.0,102,STOP,-347933.985,6555964.970499996
2019-10-28 19:15:00,LONG,45937.0,94,STOP,-100870.601,6455094.369499996
2019-10-30 11:45:00,SHORT,46135.0,93,EMA_REVERSAL,-170924.235,6284170.134499996
2019-10-31 23:15:00,LONG,46770.0,90,MONTH_END,229994.865,6514164.999499996
2019-11-05 19:00:00,LONG,46113.0,46,STOP,-175004.171,6339160.828499996
2019-11-13 11:15:00,SHORT,44290.0,92,EMA_REVERSAL,555705.53,6894866.358499996
2019-11-15 11:00:00,LONG,44238.0,51,EMA_REVERSAL,-36867.441,6857998.917499997
2019-11-25 11:15:00,LONG,44150.0,101,STOP,-353849.561,6504149.356499997
2019-12-04 20:30:00,LONG,44598.0,95,EMA_REVERSAL,-297795.93,6206353.426499997
2019-12-12 19:30:00,SHORT,44597.0,94,STOP,-320333.999,5886019.427499997
2019-12-18 18:30:00,LONG,44352.0,89,EMA_REVERSAL,107008.6605,5993028.087999998
2019-12-30 15:45:00,LONG,46638.0,45,EMA_REVERSAL,306772.7625,6299800.850499998
2020-01-06 21:00:00,LONG,47470.0,22,STOP,56394.833,6356195.6834999975
2020-01-08 18:30:00,LONG,47740.0,87,STOP,-199566.255,6156629.428499998
2020-01-24 15:00:00,SHORT,46272.0,44,EMA_REVERSAL,183695.138,6340324.566499998
2020-01-28 13:00:00,LONG,46720.0,22,EMA_REVERSAL,-16067.414,6324257.152499998
2020-01-30 12:30:00,SHORT,46105.0,44,EMA_REVERSAL,-76464.74,6247792.412499998
2020-01-31 23:45:00,LONG,47010.0,88,MONTH_END,97182.228,6344974.640499998
2020-02-06 14:45:00,SHORT,46048.0,44,EMA_REVERSAL,-37968.766,6307005.874499998
2020-02-25 11:15:00,LONG,48271.0,88,STOP,348604.828,6655610.702499998
2020-02-28 23:45:00,SHORT,44031.0,44,MONTH_END,829717.174,7485327.876499997
2020-03-03 20:30:00,SHORT,46089.0,22,STOP,-97503.527,7387824.349499998
2020-03-06 20:45:00,LONG,46671.0,44,STOP,11224.642,7399048.991499998
2020-03-09 22:30:00,SHORT,46488.0,22,STOP,-61680.619,7337368.372499998
2020-03-12 22:15:00,SHORT,44288.0,44,STOP,482187.53,7819555.902499998
2020-03-16 17:30:00,SHORT,35755.0,22,STOP,797210.227,8616766.129499998
2020-03-17 17:30:00,SHORT,34920.0,11,STOP,63618.203,8680384.332499998
2020-03-18 09:00:00,SHORT,35939.0,163,STOP,-446950.3195,8233434.0129999975
2020-03-18 12:30:00,SHORT,35478.0,22,STOP,-44678.843,8188755.169999997
2020-03-19 11:45:00,SHORT,34562.0,44,STOP,-38651.954,8150103.215999997
2020-03-20 16:45:00,LONG,36267.0,88,STOP,124665.772,8274768.987999997
2020-03-24 11:00:00,LONG,38448.0,76,STOP,399096.178,8673865.165999997
2020-03-25 17:30:00,LONG,40594.0,38,STOP,262212.312,8936077.477999998
2020-03-26 10:15:00,LONG,40877.0,145,STOP,-68546.72,8867530.757999998
2020-03-27 17:45:00,LONG,40739.0,76,STOP,-113439.728,8754091.029999997
2020-03-31 16:45:00,SHORT,39564.0,143,MONTH_END,864357.5655,9618448.595499998
2020-04-08 09:00:00,LONG,42800.0,76,STOP,-276598.428,9341850.167499999
2020-04-15 12:15:00,LONG,43420.0,144,STOP,180742.392,9522592.559499998
2020-04-17 09:00:00,LONG,43507.0,76,STOP,-242549.364,9280043.195499998
2020-04-22 16:45:00,SHORT,41698.0,144,STOP,803979.792,10084022.987499997
2020-04-27 09:00:00,SHORT,42280.0,76,STOP,-240610.528,9843412.459499996
2020-04-29 17:00:00,SHORT,42067.0,152,STOP,-434777.836,9408634.623499997
2020-04-30 18:00:00,LONG,41498.0,148,STOP,-531398.958,8877235.665499996
2020-05-12 22:00:00,LONG,43340.0,138,EMA_REVERSAL,441044.895,9318280.560499996
2020-05-18 18:15:00,LONG,48131.0,71,STOP,1399520.902,10717801.462499997
2020-05-21 11:00:00,LONG,48535.0,35,STOP,71576.82,10789378.282499997
2020-05-22 19:00:00,SHORT,48612.0,148,STOP,-183595.11,10605783.172499998
2020-05-26 22:30:00,LONG,48075.0,70,STOP,-204754.13,10401029.042499997
2020-05-27 21:45:00,SHORT,48552.0,140,STOP,-522141.27,9878887.772499997
2020-05-29 23:15:00,LONG,50439.0,133,MONTH_END,740197.8675,10619085.639999997
2020-06-01 14:15:00,LONG,50540.0,70,STOP,-295948.975,10323136.664999997
2020-06-02 18:00:00,LONG,50460.0,134,STOP,-428437.329,9894699.335999997
2020-06-10 16:45:00,SHORT,48642.0,131,EMA_REVERSAL,1061309.469,10956008.804999998
2020-06-16 09:00:00,SHORT,48045.0,140,STOP,72193.38,11028202.184999999
2020-06-24 18:00:00,LONG,47802.0,70,STOP,-124172.65,10904029.534999998
2020-06-30 23:15:00,LONG,49394.0,140,MONTH_END,669661.58,11573691.114999998
2020-07-02 14:15:00,LONG,49035.0,70,EMA_REVERSAL,-257121.375,11316569.739999998
2020-07-06 09:00:00,SHORT,49120.0,140,STOP,-226368.66,11090201.079999998
2020-07-09 20:45:00,LONG,51071.0,148,STOP,1043984.378,12134185.457999999
2020-07-10 23:00:00,SHORT,51488.0,140,EMA_REVERSAL,-232961.54,11901223.918
2020-07-22 12:45:00,LONG,59603.0,151,STOP,5463496.496,17364720.414
2020-07-22 18:15:00,LONG,60831.0,140,STOP,727876.94,18092597.354000002
2020-07-23 19:00:00,LONG,60923.0,70,STOP,110793.235,18203390.589
2020-07-28 13:00:00,LONG,61934.0,197,STOP,478706.5525,18682097.1415
2020-07-28 22:45:00,LONG,65180.0,35,STOP,-172793.67,18509303.471499998
2020-07-29 19:30:00,LONG,64496.0,70,STOP,-430169.11,18079134.3615
2020-07-30 13:15:00,SHORT,63433.0,140,STOP,-704038.58,17375095.7815
2020-07-31 09:00:00,SHORT,63664.0,184,STOP,-871171.644,16503924.137500001
2020-07-31 23:15:00,LONG,65063.0,169,MONTH_END,50693.1555,16554617.293000001
2020-08-07 17:30:00,LONG,75559.0,84,STOP,3623451.552,20178068.845000003
2020-08-10 09:00:00,SHORT,74870.0,42,STOP,-209503.581,19968565.264000002
2020-08-11 09:00:00,LONG,74801.0,84,STOP,-438555.726,19530009.538000003
2020-08-12 10:15:00,SHORT,62317.0,168,STOP,9739899.96,29269909.498000003
2020-08-13 16:15:00,SHORT,68030.0,84,STOP,-590691.444,28679218.054000005
2020-08-14 11:15:00,LONG,69815.0,168,STOP,-871237.5,27807980.554000005
2020-08-17 10:00:00,SHORT,67657.0,277,STOP,-1230350.623,26577629.931000005
2020-08-17 17:45:00,SHORT,69592.0,258,STOP,-1440198.183,25137431.748000007
2020-08-17 22:30:00,LONG,69098.0,238,STOP,-1390868.311,23746563.437000006
2020-08-18 19:30:00,LONG,69776.0,223,STOP,-1255702.742,22490860.695000008
2020-08-21 09:00:00,SHORT,68650.0,222,STOP,-1481629.998,21009230.697000008
2020-08-26 20:00:00,SHORT,65700.0,209,STOP,1240636.4355,22249867.132500008
2020-09-02 09:00:00,LONG,70032.0,112,STOP,-816168.472,21433698.66050001
2020-09-07 09:00:00,SHORT,68065.0,207,STOP,840321.7785,22274020.43900001
2020-09-08 18:45:00,LONG,67014.0,109,STOP,-583431.983,21690588.45600001
2020-09-09 22:00:00,SHORT,68350.0,214,EMA_REVERSAL,-939202.023,20751386.433000013
2020-09-11 09:00:00,LONG,67967.0,201,STOP,-726599.724,20024786.709000014
