time,event,direction,price,lots,reason,realized_pnl,realized_pnl_cum,available_cash,margin_in_use,bar_index
2025-05-08 13:30:00+05:30,ENTRY,SHORT,775.5,1,C3_SHORT + EMA_OK + BUFFER,0.0,0.0,2500000.0,581.625,92
2025-05-12 09:15:00+05:30,EXIT,SHORT,799.5,1,STOP,-122.3625,-122.3625,2499877.6375,0.0,125
2025-05-12 11:00:00+05:30,ENTRY,LONG,799.95,2,C3_LONG + EMA_OK + BUFFER,0.0,-122.3625,2499877.6375,1199.9250000000002,132
2025-05-20 13:30:00+05:30,EXIT,LONG,788.65,2,STOP,-117.76580000000068,-240.12830000000068,2499759.8717,0.0,292
2025-05-21 12:00:00+05:30,ENTRY,SHORT,781.75,4,C3_SHORT + EMA_OK + BUFFER,0.0,-240.12830000000068,2499759.8717,2345.25,311
2025-05-23 12:15:00+05:30,EXIT,SHORT,793.15,4,STOP,-237.44939999999954,-477.5777000000002,2499522.4223,0.0,362
2025-05-27 11:15:00+05:30,ENTRY,LONG,800.8,8,C3_LONG + EMA_OK + BUFFER,0.0,-477.5777000000002,2499522.4223,4804.799999999999,408
2025-06-05 13:30:00+05:30,EXIT,LONG,804.0,8,EMA_REVERSAL,108.74240000000182,-368.83529999999837,2499631.1647,0.0,592
2025-06-12 15:15:00+05:30,ENTRY,SHORT,804.0,8,C3_SHORT + EMA_OK + BUFFER,0.0,-368.83529999999837,2499631.1647,4824.0,724
2025-06-20 15:00:00+05:30,EXIT,SHORT,796.95,8,EMA_REVERSAL,262.78859999999815,-106.04670000000021,2499893.9533,0.0,873
2025-06-30 10:00:00+05:30,ENTRY,LONG,816.65,4,C3_LONG + EMA_OK + BUFFER,0.0,-106.04670000000021,2499893.9533,2449.95,1003
2025-06-30 10:15:00+05:30,EXIT,LONG,818.8,4,MONTH_END,33.187299999999546,-72.85940000000068,2499927.1406,0.0,1004
2025-07-01 12:30:00+05:30,ENTRY,LONG,824.6,2021,C3_LONG + EMA_OK + BUFFER,0.0,-72.85940000000068,2499927.1406,1249887.4500000002,1038
2025-07-02 13:15:00+05:30,EXIT,LONG,811.15,2021,STOP,-140871.02612500047,-140943.88552500046,2359056.1144749997,0.0,1066
2025-07-02 15:00:00+05:30,ENTRY,LONG,813.45,8,C3_LONG + EMA_OK + BUFFER,0.0,-140943.88552500046,2359056.1144749997,4880.7,1073
